name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,valence,sentiment,predicted_mood
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,0.697,0.336,-10.395,0.0424,0.598,0.00528,82.029,0.31,-0.9925,Sad
Yet To Come,BTS,0.559,0.885,-4.515,0.189,0.0432,0.0,172.029,0.683,0.9986,Excited
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.801,0.601,-7.574,0.255,0.0777,3.23e-05,159.969,0.74,-0.9305,Excited
Desesperados,Rauw Alejandro,0.869,0.694,-3.35,0.0783,0.356,0.00125,90.02,0.511,-0.986,Calm
The Heart Part 5,Kendrick Lamar,0.7,0.812,-8.128,0.297,0.183,0.0,97.405,0.801,0.9936,Happy
ALIEN SUPERSTAR,Beyoncé,0.545,0.641,-6.398,0.0998,0.00453,6.59e-05,121.892,0.464,0.9928,Excited
It'll Be Okay,Shawn Mendes,0.398,0.286,-11.881,0.033,0.616,0.000146,78.262,0.0666,0.9946,Sad
SKIN OF MY TEETH,Demi Lovato,0.458,0.947,-2.308,0.221,1.29e-05,0.0,130.941,0.478,-0.9848,Excited
SUMMER RENAISSANCE,Beyoncé,0.674,0.625,-9.593,0.0514,0.0843,0.0015,120.004,0.208,0.9993,Excited
I'm Good (Blue),David Guetta,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,128.04,0.304,0.9979,Excited
Hold Me Closer,Elton John,0.667,0.75,-4.602,0.0906,0.0746,0.000198,126.041,0.486,0.6808,Excited
Calm Down (with Selena Gomez),Rema,0.801,0.806,-5.206,0.0381,0.382,0.000669,106.999,0.802,0.9098,Happy
SNAP,Rosa Linn,0.565,0.636,-8.198,0.0638,0.107,9.9e-06,170.01,0.525,0.8457,Happy
Until I Found You,Stephen Sanchez,0.539,0.508,-6.05,0.0288,0.727,0.0,101.358,0.227,-0.9724,Sad
Made You Look,Meghan Trainor,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,144.981,0.884,0.3919,Happy
Midnight Rain,Taylor Swift,0.643,0.363,-11.738,0.0767,0.69,5.17e-05,139.865,0.23,0.9968,Sad
Die Hard,Kendrick Lamar,0.775,0.736,-8.072,0.247,0.319,0.00116,100.988,0.362,0.9864,Excited
Big Energy,Latto,0.937,0.793,-4.431,0.115,0.0453,0.0,106.022,0.794,-0.998,Excited
Doja,Central Cee,0.911,0.573,-7.43,0.288,0.38,0.0,140.04,0.972,0.6087,Happy
pushin P (feat. Young Thug),Gunna,0.773,0.422,-4.572,0.187,0.00783,0.00693,77.502,0.488,-0.7759,Calm
Thousand Miles,The Kid LAROI,0.376,0.657,-4.658,0.0768,0.0858,0.0,80.565,0.203,-0.2658,Calm
