name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,valence,sentiment,predicted_mood
THE SCOTTS,THE SCOTTS,0.716,0.537,-7.648,0.0514,0.233,0.0,129.979,0.28,0.707,Calm
Safaera,Bad Bunny,0.607,0.829,-4.074,0.379,0.0103,0.0,96.172,0.685,-0.934,Excited
Boss Bitch,Doja Cat,0.707,0.955,-4.593,0.222,0.127,0.0,125.989,0.575,-0.9966,Excited
Physical,Dua Lipa,0.647,0.844,-3.756,0.0457,0.0137,0.000658,146.967,0.746,0.936,Excited
Head & Heart (feat. MNEK),Joel Corry,0.734,0.874,-3.158,0.0662,0.168,1.14e-05,122.953,0.905,0.9599,Happy
You should be sad,Halsey,0.591,0.585,-6.35,0.0277,0.143,0.0,110.94,0.324,-0.9824,Calm
No Time To Die,Billie Eilish,0.38,0.219,-13.273,0.0358,0.917,0.0104,73.537,0.0517,-0.9947,Sad
After Hours,The Weeknd,0.664,0.572,-6.099,0.0305,0.0811,0.00604,108.959,0.143,-0.8917,Excited
Lonely (with benny blanco),Justin Bieber,0.631,0.239,-7.071,0.0398,0.864,0.0,79.859,0.0927,0.9341,Sad
July,Noah Cyrus,0.708,0.186,-8.953,0.042,0.868,0.0,72.541,0.322,0.9799,Sad
Wonder,Shawn Mendes,0.333,0.637,-4.904,0.0581,0.131,1.8e-05,139.898,0.132,0.9968,Calm
my future,Billie Eilish,0.444,0.309,-10.956,0.062,0.795,0.132,104.745,0.0875,0.9922,Sad
BELIEVE IT,PARTYNEXTDOOR,0.43,0.7,-5.35,0.264,0.0902,0.0,158.373,0.731,0.9925,Excited
Level of Concern,Twenty One Pilots,0.754,0.583,-7.34,0.0432,0.32,0.00015,122.012,0.77,0.9974,Happy
ON (Feat. Sia),BTS,0.591,0.848,-4.397,0.0828,0.137,0.0,105.922,0.386,-0.9752,Excited
TKN (feat. Travis Scott),ROSALÍA,0.776,0.509,-6.266,0.467,0.192,1.49e-06,94.634,0.485,0.8536,Calm
Go Crazy,Chris Brown,0.755,0.578,-8.932,0.145,0.316,0.0,94.148,0.581,-0.9862,Calm
Wishing Well,Juice WRLD,0.65,0.613,-6.13,0.128,0.00336,0.0,149.972,0.0804,-0.9972,Excited
Ice Cream (with Selena Gomez),BLACKPINK,0.79,0.729,-3.843,0.334,0.0342,9.31e-05,159.989,0.904,0.9779,Excited
What A Man Gotta Do,Jonas Brothers,0.852,0.698,-7.206,0.0629,0.00839,1.03e-06,113.039,0.324,0.9693,Excited
Be Kind (with Halsey),Marshmello,0.63,0.633,-7.088,0.0457,0.00776,0.0,93.995,0.452,0.9912,Happy
I Love Me,Demi Lovato,0.664,0.561,-7.031,0.0495,0.00261,0.0,150.093,0.713,0.9993,Happy
Play Date,Melanie Martinez,0.68,0.729,-5.077,0.0475,0.612,0.0,123.97,0.446,-0.5132,Calm
Take You Dancing,Jason Derulo,0.789,0.711,-4.248,0.041,0.0332,0.0,112.985,0.753,0.9885,Happy
Diamonds,Sam Smith,0.653,0.667,-6.764,0.0423,0.154,0.0,104.181,0.556,0.996,Happy
MAMACITA,Black Eyed Peas,0.894,0.635,-6.929,0.0473,0.193,0.00105,105.013,0.428,0.9962,Excited
Runnin,21 Savage,0.819,0.626,-4.574,0.202,0.00748,0.101,143.01,0.415,-0.9987,Excited
Yo Perreo Sola,Bad Bunny,0.86,0.758,-5.16,0.0695,0.021,6.54e-05,97.014,0.453,-0.9182,Excited
High Fashion (feat. Mustard),Roddy Ricch,0.831,0.499,-8.442,0.114,0.269,0.0,97.956,0.511,-0.7998,Calm
Djadja (feat. Maluma) - Remix,Aya Nakamura,0.791,0.682,-7.328,0.158,0.175,0.0,98.031,0.672,-0.9837,Happy
Old Me,5 Seconds of Summer,0.721,0.62,-3.639,0.0483,0.313,0.0,127.979,0.473,-0.957,Calm
I’m Ready (with Demi Lovato),Sam Smith,0.501,0.674,-6.363,0.0408,0.00346,3.56e-05,155.051,0.152,0.8402,Excited
My Oh My (feat. DaBaby),Camila Cabello,0.724,0.491,-6.024,0.0296,0.018,1.29e-05,105.046,0.383,0.9512,Calm
Moral of the Story,Ashe,0.572,0.406,-8.624,0.0427,0.587,4.48e-06,119.812,0.265,0.9959,Sad
